nit,razon_social,supervisor,region,departamento_domicilio,ciudad_domicilio,ciiu,macrosector,ingresos_operacionales,ganancia_perdida,total_activos,total_pasivos,total_patrimonio,ano_de_corte,total_impuestos
800214071,RENA WARE DE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA -CUNDINAMARCA,4755,COMERCIO,0.04,0,0.04,0.02,0.03,2022,42415171.254237995
800214589,AGROINDUSTRIALES CAÑAVERALEJO SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,4530,COMERCIO,0.08,0.01,0.06,0.04,0.02,2022,25103649.530394003
800214937,WAYUU FLOWER S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,125,AGROPECUARIO,0.02,0,0.04,0.01,0.03,2022,42415171.254237995
800214959,DELTA A SALUD SAS BIC,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7020,SERVICIOS,0.02,0,0.01,0,0.01,2022,42415171.254237995
800215019,SOCIEDAD CORDOBESA DE CIRUGIA VASCULAR S.AS,SUPERSALUD,Costa Atlántica,CORDOBA,MONTERIA-CORDOBA,8610,SERVICIOS,0.03,0,0.04,0.02,0.02,2022,23391888.622931004
800215065,COORDINADORA DE SERVICIOS DE PARQUE CEMENTERIO S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,9603,SERVICIOS,0.3,0.01,0.14,0.06,0.08,2022,42415171.254237995
800215466,GYG CONSTRUCCIONES SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,FOSCA-CUNDINAMARCA,4390,CONSTRUCCIÓN,0.02,0,0.01,0,0.01,2022,42415171.254237995
800215494,MARCALI INTERNACIONAL S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4511,COMERCIO,0.06,0,0.02,0.02,0,2022,42415171.254237995
800215496,MARKIA S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4511,COMERCIO,0.03,0,0.04,0.02,0.02,2022,42415171.254237995
800215509,DISTRIBUIDORA JORGE MARIO URIBE G SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,4690,COMERCIO,0.04,0,0.04,0.03,0.02,2022,12390714.682238001
800215548,DISTRIBUCIONES DISAY SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4631,COMERCIO,0.07,0,0,0,0,2022,42415171.254237995
800215562,LUBRIRETENES Y RODAMIENTOS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4541,COMERCIO,0.03,0,0.03,0.02,0.01,2022,42415171.254237995
